dispDate,monthName,monthNameGuj,paksha,pakshaGuj,tithi,tithiGuj,eventTitle,eventTitleGuj,eventDesc,eventDescGuj,iconURL
3/1/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Dasham,દશમ,,,,,
3/2/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Agiyaras,અગિયારસ,,,,,
3/3/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Ekadashi,એકાદશી,Amalki Ekadashi,"આમલકી એકાદશી, ઉપવાસ","According to the legend narrated for the occasion, King Chitrasena and his subjects observed the vrata of Amalaka Ekadashi. During one of his hunting trips, Chitrasena lost his way in the forest and was captured by the rakshasas (demons) who attacked him with weapons. Though he remained physically unharmed, the king fell unconscious as more rakshasas surrounded him. A divine power in the form of a light emerged from his body and destroyed his attackers and then vanished. On regaining consciousness, Chitrasena was stunned to see all the attackers killed. A divine voice (Akasavani) announced that this was due to the observance of the Ekadashi vrata. Following this incident, the vrata became popular in the kingdom, which led to peace and harmony.",,https://app.haridham.us/appassets/ekadashi.jpg
3/4/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Baras,બારસ,,,,,
3/5/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Teras,તેરસ,,,,,
3/6/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Chaudas,ચૌદસ,,,,,
3/6/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Punam,પૂનમ,Hutasani Poonam,"પૂનમ, હુતાશની",The famous Holika Dahan associated with Holi festival is observed on the Hutasani Purnima day.,,
3/6/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Punam,પૂનમ,Holika Dahan,હોલિકાદહન,,,
3/6/2023 0:00,Phagun,ફાગણ,Sud,સુદ,Punam,પૂનમ,Bhramswaroop Shri Bhagatji Maharaj no Pragatya Din,"બ્રહ્મસ્વરૂપ શ્રી ભગતજીમહારાજનો પ્રાગટ્યદિન (સં. ૧૮૮૫) (પ્રાગટ્ય : મહુવા, જિ. ભાવનગર)",,,
3/7/2023 0:00,Phagun,ફાગણ,Vad,વદ,Padvo,પડવો,"Dhuleti, Holastak Kamuratam Samapt","ધૂળેટી, હોળાષ્ટક-કમૂરતાં સમાપ્ત",,,
3/7/2023 0:00,Phagun,ફાગણ,Vad,વદ,Padvo,પડવો,Rangotsav,"રંગોત્સવ, ફુલદોલોત્સવ",,,
3/7/2023 0:00,Phagun,ફાગણ,Vad,વદ,Padvo,પડવો,Sant Bhagvant P.P. Jashbhai Saheebji no Pragatya Din,સંતભગવંત પ.પૂ. જશભાઈ સાહેબજીનો પ્રાગટ્યદિન (વિ. સં ૧૯૯૬),,,
3/8/2023 0:00,Phagun,ફાગણ,Vad,વદ,Beej,બીજ,,,,,
3/9/2023 0:00,Phagun,ફાગણ,Vad,વદ,Treej,ત્રીજ,,,,,
3/10/2023 0:00,Phagun,ફાગણ,Vad,વદ,Treej,ત્રીજ,,,,,
3/11/2023 0:00,Phagun,ફાગણ,Vad,વદ,Choth,ચોથ,,,,,
3/12/2023 0:00,Phagun,ફાગણ,Vad,વદ,Pancham,પંચમ,,,,,
3/13/2023 0:00,Phagun,ફાગણ,Vad,વદ,Chhath,છઠ,,,,,
3/14/2023 0:00,Phagun,ફાગણ,Vad,વદ,Satam,સાતમ,,,,,
3/15/2023 0:00,Phagun,ફાગણ,Vad,વદ,Atham,આઠમ,,,,,
3/16/2023 0:00,Phagun,ફાગણ,Vad,વદ,Nom,નોમ,,,,,
3/17/2023 0:00,Phagun,ફાગણ,Vad,વદ,Dasham,દશમ,,,,,
3/18/2023 0:00,Phagun,ફાગણ,Vad,વદ,Ekadashi,એકાદશી,,,,,https://app.haridham.us/appassets/ekadashi.jpg
